M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Week,Season,Season_Label,Total_Sales
34.18,25.265,19.95,302.162,52.0,2.0,55.0,4.2,2016,12,48,Winter,3,494.75699999999995
41.85,23.892,37.75,275.424,37.0,4.0,71.0,11.0,2016,12,49,Winter,3,501.916
35.14,27.539,25.4,303.525,88.33333333,6.0,88.0,9.2,2016,12,50,Winter,3,583.13733333
26.0,29.634,19.1,315.2,28.0,3.0,31.0,6.5,2016,12,51,Winter,3,458.43399999999997
49.20375,42.70525,31.52916667,546.899,53.75,6.875,55.25,4.625,2017,1,52,Winter,3,790.83716667
33.6875,30.3825,33.54166667,343.35,62.91666667,3.958333333,47.65625,14.58333333,2017,1,1,Winter,3,570.0762500029999
48.74583333,34.27541667,60.125,368.4791667,120.0,5.416666667,31.66666667,12.16666667,2017,1,2,Winter,3,680.875416707
39.45416667,30.46041667,41.5,320.5833333,115.8333333,9.583333333,45.41666667,15.83333333,2017,1,3,Winter,3,618.6645832730001
43.97083333,42.04583333,44.70833333,298.505,105.8333333,8.333333333,55.41666667,12.70833333,2017,1,4,Winter,3,611.5216666230001
54.1575,42.41791667,40.70833333,265.8933333,79.33333333,9.166666667,44.33333333,14.43333333,2017,2,5,Winter,3,550.443749957
47.3225,29.09,33.55,146.2,39.0,3.0,27.0,9.0,2017,2,6,Winter,3,334.16249999999997
27.33,22.648,11.75,128.05,18.0,0.0,18.0,10.3,2017,2,7,Winter,3,236.07800000000003
32.67,32.354,32.2,170.7,49.875,2.0,36.0,8.2,2017,2,8,Winter,3,363.99899999999997
46.35,31.48,34.6,134.7,53.0,4.0,48.0,19.5,2017,3,9,Summer,2,371.63
37.51,27.736,26.2,171.1,31.0,7.0,20.0,17.0,2017,3,10,Summer,2,337.546
33.99,18.654,19.2,146.1,35.0,0.0,25.0,11.0,2017,3,11,Summer,2,288.944
36.83,29.719,18.85,122.0,36.0,0.0,31.0,32.1,2017,3,12,Summer,2,306.499
28.18,18.389,29.0,138.4,39.0,0.0,20.0,37.9,2017,4,13,Summer,2,310.86899999999997
32.66,21.023,23.4,119.1,34.0,3.0,47.0,22.5,2017,4,14,Summer,2,302.683
48.66,15.904,18.4,126.65,21.0,2.0,58.0,23.2,2017,4,15,Summer,2,313.814
32.3,26.812,27.0,130.7,38.0,2.0,17.875,16.0,2017,4,16,Summer,2,290.687
32.99,31.253,25.7,106.75,33.0,2.0,48.0,45.3,2017,4,17,Summer,2,324.993
25.34,27.396,19.05,92.85,30.0,0.0,44.0,25.1,2017,5,18,Summer,2,263.736
38.98,23.892,31.95,109.9,36.0,14.0,24.0,40.7,2017,5,19,Summer,2,319.42199999999997
31.67,31.409,11.2,150.6,32.0,3.0,27.0,39.0,2017,5,20,Summer,2,325.879
32.33,25.58,23.85,129.39,37.0,0.0,23.0,42.01,2017,5,21,Summer,2,313.15999999999997
31.01,20.991,24.15,137.4,38.0,9.0,44.0,26.0,2017,6,22,Rainy,1,330.55100000000004
30.49,30.596,27.25,122.95,37.0,0.0,37.0,38.7,2017,6,23,Rainy,1,323.986
21.66,30.099,14.25,96.45,40.0,3.0,40.0,44.37,2017,6,24,Rainy,1,289.829
28.16,14.98,22.1,128.0,31.0,2.0,23.0,34.83,2017,6,25,Rainy,1,284.07
34.68,22.198,27.75,95.5,41.0,0.0,39.0,31.0,2017,7,26,Rainy,1,291.128
35.49,24.249,22.1,110.6,63.0,1.0,37.0,20.0,2017,7,27,Rainy,1,313.43899999999996
27.67,36.152,14.15,111.0,41.0,5.0,25.0,13.0,2017,7,28,Rainy,1,272.972
41.83,27.196,21.5,117.0,43.0,8.0,31.0,25.0,2017,7,29,Rainy,1,314.526
29.635,21.789,12.2,100.75,52.0,1.0,7.0,13.1,2017,7,30,Rainy,1,237.47400000000002
41.66,17.361,13.25,112.912,41.0,2.0,13.0,17.0,2017,8,31,Rainy,1,258.183
20.01,26.372,22.0,103.788,66.0,5.0,12.0,10.5,2017,8,32,Rainy,1,265.67
35.82,24.529,24.15,115.85,56.0,0.0,20.0,14.5,2017,8,33,Rainy,1,290.849
40.65,27.929,12.55,170.75,60.0,2.0,23.0,12.0,2017,8,34,Rainy,1,348.879
55.86,27.681,27.7,124.4,48.0,3.0,16.0,14.1,2017,9,35,Rainy,1,316.74100000000004
38.17,32.36,24.8,182.7,44.0,1.0,8.0,21.5,2017,9,36,Rainy,1,352.53
27.0,24.063,24.65,152.95,73.0,3.0,30.0,18.4,2017,9,37,Rainy,1,353.063
39.98,30.489,11.1,219.75,48.0,7.0,19.0,18.0,2017,9,38,Rainy,1,393.31899999999996
20.67,27.098,17.6,323.05,42.0,13.0,98.0,4.0,2017,10,39,Autumn,0,545.418
32.66,22.364,23.5,305.15,48.0,4.0,49.0,12.0,2017,10,40,Autumn,0,496.674
33.67,17.809,14.5,222.6,41.0,3.0,52.0,13.5,2017,10,41,Autumn,0,398.079
29.5,22.792,23.0,268.9,73.0,5.0,44.0,10.0,2017,10,42,Autumn,0,476.192
31.98,14.858,30.4,244.8,48.0,2.0,73.0,12.5,2017,10,43,Autumn,0,457.538
29.5,31.459,21.05,221.75,35.0,3.0,35.0,12.2,2017,11,44,Autumn,0,388.959
40.52,25.356,27.45,184.2,44.0,3.0,51.0,8.5,2017,11,45,Autumn,0,384.026
35.32,28.181,22.9,191.1,40.0,3.0,69.0,8.9,2017,11,46,Autumn,0,398.40099999999995
45.99,31.004,20.5,203.624,64.0,3.0,21.0,7.0,2017,11,47,Autumn,0,396.118
38.34,26.156,27.55,218.825,35.0,3.0,40.0,17.5,2017,12,48,Winter,3,406.371
27.01,20.066,29.5,215.6,50.0,1.0,64.0,13.0,2017,12,49,Winter,3,420.176
38.51,28.746,24.4,240.0,53.0,2.0,34.0,12.0,2017,12,50,Winter,3,432.656
24.33,21.46,22.6,168.7,38.0,0.0,32.0,5.6,2017,12,51,Winter,3,312.69
50.17,34.038,29.65,302.08,68.0,3.0,63.0,11.0,2017,12,52,Winter,3,560.938
28.33,17.311,11.45,230.2,31.0,0.0,39.0,16.0,2018,1,1,Winter,3,373.291
34.48,30.345,28.1,255.525,52.0,6.0,44.0,6.0,2018,1,2,Winter,3,456.45
36.65,19.624,22.5,226.8,49.0,2.0,75.0,9.5,2018,1,3,Winter,3,441.074
25.83,28.967,27.85,306.5,64.0,0.0,47.0,13.0,2018,1,4,Winter,3,513.1469999999999
26.98,38.715,26.55,318.1,64.0,3.0,34.0,17.4,2018,2,5,Winter,3,528.745
42.18,28.725,31.6,366.95,76.0,0.0,71.25,6.66,2018,2,6,Winter,3,623.3649999999999
31.51,43.618,28.7,338.562,62.0,1.0,48.0,6.0,2018,2,7,Winter,3,559.39
29.35,29.305,28.55,229.1,49.0,0.0,70.0,11.0,2018,2,8,Winter,3,446.305
19.33,20.772,33.2,256.549,115.0,16.0,68.0,14.5,2018,3,9,Summer,2,543.351
36.65,29.928,33.75,223.9,91.0,17.0,68.0,16.4,2018,3,10,Summer,2,516.628
31.33,21.538,19.65,207.8,77.0,2.0,61.0,24.0,2018,3,11,Summer,2,444.318
28.01,20.736,25.9,241.112,50.0,3.0,58.0,17.5,2018,3,12,Summer,2,444.258
43.0,27.77,20.3,224.724,117.0,16.0,51.0,21.1,2018,4,13,Summer,2,520.894
38.85,23.301,22.9,209.525,83.0,7.0,60.0,36.5,2018,4,14,Summer,2,481.076
38.83,22.308,23.5,175.7,64.0,3.0,52.0,53.5,2018,4,15,Summer,2,432.83799999999997
29.84,26.671,10.15,211.025,51.0,0.0,28.0,38.7,2018,4,16,Summer,2,395.386
50.67,25.443,25.05,155.912,60.0,3.0,66.0,56.4,2018,4,17,Summer,2,442.47499999999997
29.01,28.895,18.25,136.737,53.0,0.0,26.0,65.0,2018,5,18,Summer,2,356.892
53.82,24.282,25.15,160.8,66.0,4.0,31.0,51.0,2018,5,19,Summer,2,416.052
27.69,24.286,17.0,156.8,59.0,7.0,47.0,39.4,2018,5,20,Summer,2,378.176
31.16,20.346,24.15,135.786,60.0,2.0,31.0,37.0,2018,5,21,Summer,2,341.442
49.17,20.385,16.85,143.05,59.0,4.0,45.0,41.64,2018,6,22,Rainy,1,379.095
30.32,26.023,17.45,138.45,61.0,6.0,23.0,24.4,2018,6,23,Rainy,1,326.643
31.52,31.195,20.6,124.569,57.0,0.0,16.0,30.4,2018,6,24,Rainy,1,311.284
27.51,29.299,20.75,143.062,45.0,3.0,29.0,32.6,2018,6,25,Rainy,1,330.221
28.5,23.39,20.0,125.862,66.0,5.0,31.0,23.4,2018,7,26,Rainy,1,323.152
30.99,33.31,21.75,136.45,78.0,3.0,41.0,33.5,2018,7,27,Rainy,1,378.0
33.67,31.353,22.65,189.4,62.0,9.0,11.0,23.4,2018,7,28,Rainy,1,382.47299999999996
33.66,32.057,16.3,165.6,65.0,2.0,24.0,29.0,2018,7,29,Rainy,1,367.61699999999996
39.53,22.07,17.2,126.9,57.0,3.0,4.0,25.3,2018,7,30,Rainy,1,295.0
26.34,20.936,18.3,106.0,58.0,8.0,9.0,29.3,2018,8,31,Rainy,1,275.876
38.65,27.817,29.0,147.788,66.0,2.0,13.0,23.0,2018,8,32,Rainy,1,347.255
31.32,33.509,16.4,169.85,56.0,7.0,28.0,20.0,2018,8,33,Rainy,1,362.079
35.34,30.097,18.55,223.1,44.0,2.0,79.0,24.8,2018,8,34,Rainy,1,456.887
27.7,17.799,19.5,165.1,54.0,4.0,36.0,17.0,2018,9,35,Rainy,1,341.099
34.16,20.522,17.6,223.2,63.0,0.0,43.0,21.7,2018,9,36,Rainy,1,423.18199999999996
40.16,20.918,19.25,253.55,71.0,6.0,42.0,17.4,2018,9,37,Rainy,1,470.278
33.34,32.186,17.2,222.162,64.0,3.0,47.0,28.0,2018,9,38,Rainy,1,446.88800000000003
36.84,35.993,27.25,320.35,54.0,2.0,67.0,17.0,2018,9,39,Rainy,1,560.433
30.52,31.639,15.8,262.95,60.0,3.0,63.0,9.1,2018,10,40,Autumn,0,476.009
32.66,28.57,20.65,239.5,87.0,7.0,56.0,22.0,2018,10,41,Autumn,0,493.38
32.85,27.164,13.1,241.0,50.0,9.0,67.0,25.0,2018,10,42,Autumn,0,465.11400000000003
32.0,30.677,20.15,300.725,71.0,6.0,116.0,14.8,2018,10,43,Autumn,0,591.352
46.65,21.431,15.55,240.1,42.2,3.0,46.0,12.3,2018,11,44,Autumn,0,427.231
39.99,19.789,34.55,255.85,70.0,5.0,93.0,8.9,2018,11,45,Autumn,0,527.079
37.34,26.113,28.0,236.1,63.0,5.0,100.0,7.4,2018,11,46,Autumn,0,502.953
43.33,29.494,23.4,201.0,54.0,6.0,67.0,11.3,2018,11,47,Autumn,0,435.524
31.83,34.568,19.05,253.9,55.0,6.0,70.0,24.5,2018,12,48,Winter,3,494.848
23.49,21.509,15.7,222.6,60.0,0.0,56.0,9.0,2018,12,49,Winter,3,408.299
23.34,21.913,19.7,249.7,51.0,5.0,98.0,10.8,2018,12,50,Winter,3,479.45300000000003
37.68,17.239,13.8,240.6,53.0,9.0,58.0,9.0,2018,12,51,Winter,3,438.31899999999996
45.03,33.145,18.3,349.85,67.0,10.0,96.0,10.3,2018,12,52,Winter,3,629.625
41.0,31.263,23.55,289.65,51.0,2.0,54.0,11.0,2019,1,1,Winter,3,503.46299999999997
35.66,28.404,20.2,354.8,79.2,6.0,50.0,6.0,2019,1,2,Winter,3,580.264
51.19,52.069,27.95,384.05,69.0,3.0,121.0,13.0,2019,1,3,Winter,3,721.259
38.35,53.243,22.5,478.3,69.0,9.0,93.0,9.0,2019,1,4,Winter,3,772.393
52.18,53.571,30.65,348.562,64.0,5.0,131.0,13.7,2019,2,5,Winter,3,698.663
32.35,47.251,28.7,297.45,50.0,4.0,62.0,15.7,2019,2,6,Winter,3,537.451
35.01,36.772,31.8,249.912,78.4,0.0,35.0,16.6,2019,2,7,Winter,3,483.494
22.35,24.635,16.4,204.0,71.0,3.0,31.0,13.3,2019,2,8,Winter,3,385.685
26.68,18.414,20.85,187.8,49.0,6.0,57.0,23.9,2019,3,9,Summer,2,389.644
30.51,16.569,21.7,231.9,72.0,5.0,26.0,32.6,2019,3,10,Summer,2,436.279
43.51,22.953,20.2,251.45,66.0,5.0,88.0,32.0,2019,3,11,Summer,2,529.113
35.99,20.661,13.95,196.6,68.4,2.0,74.0,48.0,2019,3,12,Summer,2,459.601
31.17,43.774,20.0,172.9,69.0,4.0,53.0,49.5,2019,3,13,Summer,2,443.344
36.19,25.685,26.5,173.35,62.0,1.0,51.0,57.6,2019,4,14,Summer,2,433.32500000000005
30.33,28.165,14.5,125.5,72.4,4.0,42.0,40.5,2019,4,15,Summer,2,357.395
29.84,24.027,14.55,117.9,80.0,9.0,36.0,33.2,2019,4,16,Summer,2,344.517
57.7,14.514,21.95,181.3,67.0,6.0,62.0,36.4,2019,4,17,Summer,2,446.864
31.36,27.413,28.55,157.6,52.0,7.0,64.0,45.4,2019,5,18,Summer,2,413.323
36.35,19.968,22.2,149.1,79.0,8.0,123.0,24.0,2019,5,19,Summer,2,461.618
40.0,18.023,23.65,160.0,68.0,5.0,61.29166667,23.4,2019,5,20,Summer,2,399.36466666999996
42.17,28.925,24.35,194.4,49.8,5.0,65.0,34.0,2019,5,21,Summer,2,443.64500000000004
32.49,14.703,25.0,141.462,40.0,4.0,27.0,28.0,2019,6,22,Rainy,1,312.655
37.67,16.537,28.8,157.6,52.0,7.0,45.0,28.1,2019,6,23,Rainy,1,372.707
37.2,23.259,24.75,123.6,46.0,1.0,23.0,57.0,2019,6,24,Rainy,1,335.80899999999997
35.66,27.388,20.5,148.5,49.0,10.0,32.0,35.94,2019,6,25,Rainy,1,358.988
34.01,30.443,20.1,130.9,41.0,6.0,28.0,27.0,2019,6,26,Rainy,1,317.453
34.65,20.777,19.0,132.05,47.0,1.0,17.0,28.8,2019,7,27,Rainy,1,300.277
44.0,31.319,28.05,149.6,53.6,8.0,15.0,21.0,2019,7,28,Rainy,1,350.569
47.33,18.649,17.45,149.2,55.0,2.0,15.0,28.0,2019,7,29,Rainy,1,332.629
36.52,19.439,19.3,124.375,70.0,5.0,30.0,18.4,2019,7,30,Rainy,1,323.034
44.01,23.3,21.3,156.45,54.0,11.0,48.0,19.7,2019,8,31,Rainy,1,377.76
40.99,19.219,21.3,86.25,57.0,8.0,66.0,20.0,2019,8,32,Rainy,1,318.759
45.18,19.109,13.55,125.0,53.0,2.0,35.0,23.0,2019,8,33,Rainy,1,315.839
41.87,27.516,17.05,115.45,61.0,6.0,24.0,20.5,2019,8,34,Rainy,1,313.38599999999997
30.36,16.842,25.0,117.4,45.2,4.0,15.0,27.1,2019,9,35,Rainy,1,280.90200000000004
40.71,26.767,15.75,154.755,51.0,6.0,15.0,28.5,2019,9,36,Rainy,1,338.48199999999997
35.51,30.977,19.65,178.375,67.2,5.0,30.0,30.5,2019,9,37,Rainy,1,397.212
46.84,25.396,24.4,248.25,31.2,3.0,26.0,21.0,2019,9,38,Rainy,1,426.08599999999996
34.01,22.498,26.6,336.7,61.2,1.0,40.41666667,23.1,2019,9,39,Rainy,1,545.52466667
38.7,32.502,19.25,249.45,69.0,5.0,30.0,12.13,2019,10,40,Autumn,0,456.032
7.67,6.237,3.5,95.1,26.0,2.0,12.0,1.0,2019,10,41,Autumn,0,153.507
